Author,Collaboration Count,Publication Count,Tenure of Research,Degree Centrality,Cluster,Label,Predicted Label
Andrew P. Black,1.0,1.0,16.0,0.010526315789473684,2.0,ER,ER
D. Phillips,4.0,1.0,0.0,0.020512820512820513,2.0,ECR,ECR
M. Pique,4.0,1.0,0.0,0.020512820512820513,2.0,ECR,ECR
C. Moler,4.0,1.0,0.0,0.020512820512820513,2.0,ECR,ECR
J. Torborg,4.0,1.0,0.0,0.020512820512820513,2.0,ECR,ECR
D. Greenberg,4.0,1.0,0.0,0.020512820512820513,2.0,ECR,ECR
Mohammad Zarifi Eslami,3.0,1.0,0.0,0.01507537688442211,2.0,ECR,ECR
Alireza Zarghami,3.0,1.0,0.0,0.01507537688442211,2.0,ECR,ECR
Marten van Sinderen,3.0,1.0,0.0,0.01507537688442211,2.0,ECR,ECR
Roel Wieringa,3.0,1.0,0.0,0.01507537688442211,2.0,ECR,ECR
A. Rattini,1.0,1.0,0.0,0.004975124378109453,0.0,ECR,ECR
G. Romanin Jacur,1.0,1.0,0.0,0.004975124378109453,0.0,ECR,ECR
Vladimir Yu. Gudkov,1.0,1.0,0.0,0.0049261083743842365,0.0,ECR,ECR
Oleg Ushmaev,1.0,1.0,0.0,0.0049261083743842365,0.0,ECR,ECR
Noriko Kando,2.0,1.0,0.0,0.009708737864077669,2.0,ECR,ECR
Teruko Mitamura,2.0,1.0,0.0,0.009708737864077669,2.0,ECR,ECR
Tetsuya Sakai,2.0,1.0,0.0,0.009708737864077669,2.0,ECR,ECR
David B. Surowski,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Murat Ak,3.0,1.0,0.0,0.014218009478672987,2.0,ECR,ECR
Kamer Kaya,3.0,1.0,0.0,0.014218009478672987,2.0,ECR,ECR
Kaan Onarlıoğlu,3.0,1.0,0.0,0.014218009478672987,2.0,ECR,ECR
Ali Aydın Selçuk,3.0,1.0,0.0,0.014218009478672987,2.0,ECR,ECR
J. de Meer,2.0,1.0,0.0,0.009345794392523364,2.0,ECR,ECR
A. Rennoch,2.0,1.0,0.0,0.009345794392523364,2.0,ECR,ECR
J. Burmeister,2.0,1.0,0.0,0.009345794392523364,2.0,ECR,ECR
Michel Dhome,3.0,1.0,0.0,0.013761467889908258,2.0,ECR,ECR
Jean-Thierry Lapresté,3.0,1.0,0.0,0.013761467889908258,2.0,ECR,ECR
Gérard Rives,3.0,1.0,0.0,0.013761467889908258,2.0,ECR,ECR
Marc Richetin,3.0,1.0,0.0,0.013761467889908258,2.0,ECR,ECR
Ashfaq Khokhar,1.0,1.0,0.0,0.004545454545454545,0.0,ECR,ECR
Turkmen Canli,1.0,1.0,0.0,0.004545454545454545,0.0,ECR,ECR
Richard H. Veith,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Charles Sebens,1.0,1.0,0.0,0.004484304932735426,0.0,ECR,ECR
Walt Truszkowski,1.0,1.0,0.0,0.004484304932735426,0.0,ECR,ECR
Fei Yang,4.0,1.0,0.0,0.017543859649122806,1.0,ECR,ECR
Shiguang Shan,4.0,1.0,0.0,0.017543859649122806,1.0,ECR,ECR
Bingpeng Ma,4.0,1.0,0.0,0.017543859649122806,1.0,ECR,ECR
Xilin Chen,4.0,1.0,0.0,0.017543859649122806,1.0,ECR,ECR
Wen Gao,4.0,1.0,3.0,0.017543859649122806,1.0,ECR,ECR
Chang Zheng,1.0,1.0,0.0,0.004347826086956522,0.0,ECR,ECR
Zhu Guangming,1.0,1.0,0.0,0.004347826086956522,0.0,ECR,ECR
Ketan D. Mulmuley,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Mark Budnik,3.0,1.0,0.0,0.012765957446808512,2.0,ECR,ECR
Arijit Raychowdhury,3.0,1.0,0.0,0.012765957446808512,2.0,ECR,ECR
Aditya Bansal,3.0,1.0,0.0,0.012765957446808512,2.0,ECR,ECR
Kaushik Roy,3.0,1.0,0.0,0.012765957446808512,2.0,ECR,ECR
M. Nakao,0.0,1.0,0.0,0.0,0.0,ECR,ECR
George Metcalfe,2.0,1.0,0.0,0.008368200836820083,2.0,ECR,ECR
Nicola Olivetti,2.0,1.0,0.0,0.008368200836820083,2.0,ECR,ECR
Dov Gabbay,2.0,1.0,0.0,0.008368200836820083,2.0,ECR,ECR
L. Badia,2.0,1.0,0.0,0.008264462809917356,2.0,ECR,ECR
S. Merlin,2.0,1.0,0.0,0.008264462809917356,2.0,ECR,ECR
M. Zorzi,2.0,1.0,0.0,0.008264462809917356,2.0,ECR,ECR
Yvonne Hitchcock,3.0,1.0,0.0,0.012195121951219513,2.0,ECR,ECR
Paul Montague,3.0,1.0,0.0,0.012195121951219513,2.0,ECR,ECR
Gary Carter,3.0,1.0,0.0,0.012195121951219513,2.0,ECR,ECR
Ed Dawson,3.0,1.0,0.0,0.012195121951219513,2.0,ECR,ECR
Pavlos Antoniou,4.0,1.0,0.0,0.01593625498007968,2.0,ECR,ECR
Andreas Pitsillides,4.0,1.0,0.0,0.01593625498007968,2.0,ECR,ECR
Tim Blackwell,4.0,1.0,0.0,0.01593625498007968,2.0,ECR,ECR
Andries Engelbrecht,4.0,1.0,0.0,0.01593625498007968,2.0,ECR,ECR
Loizos Michael,4.0,1.0,0.0,0.01593625498007968,2.0,ECR,ECR
Nancy E. Reed,1.0,1.0,0.0,0.003952569169960474,0.0,ECR,ECR
Paul E. Johnson,1.0,1.0,0.0,0.003952569169960474,0.0,ECR,ECR
Florian A. Potra,1.0,1.0,0.0,0.00392156862745098,0.0,ECR,ECR
Rongqin Sheng,1.0,1.0,0.0,0.00392156862745098,0.0,ECR,ECR
A. C.-C. Shih,2.0,1.0,0.0,0.007751937984496124,2.0,ECR,ECR
H. -Y.M. Liao,2.0,1.0,0.0,0.007751937984496124,2.0,ECR,ECR
Chun-Shien Lu,2.0,1.0,0.0,0.007751937984496124,2.0,ECR,ECR
Brian Randell,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Kesheng Wang,1.0,1.0,0.0,0.0038314176245210726,0.0,ECR,ECR
Quan Yu,1.0,1.0,9.0,0.0038314176245210726,0.0,ER,ER
Hendrik Stouten,3.0,1.0,0.0,0.011320754716981133,2.0,ECR,ECR
Aimé Heene,3.0,1.0,0.0,0.011320754716981133,2.0,ECR,ECR
Xavier Gellynck,3.0,1.0,0.0,0.011320754716981133,2.0,ECR,ECR
Hans Polet,3.0,1.0,0.0,0.011320754716981133,2.0,ECR,ECR
James R. Matey,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Rahime Ceylan,3.0,1.0,0.0,0.011111111111111112,1.0,ECR,ECR
